id,eval_unit_id,project_id,organism,service_center,street_num,street_name,muni,postal_code,num_dwellings,num_floors,area_footprint,area_total,ivp,disrepair_state,interest_adjust_date,contract_end_date,category,building_id
10765,49058838109059000000000,1276,Oh Drummond,CS Drummondville,54,8e Avenue,Drummondville,J2B 2R4,16,2,359.82,1079.46,10.70,C,1975-02-01,2025-02-01,MULTIFAMILIAL,22024
10776,49058838109059000000000,1276,Oh Drummond,CS Drummondville,60,8e Avenue,Drummondville,J2B 2R4,16,2,359.82,1079.46,10.40,C,1975-02-01,2025-02-01,MULTIFAMILIAL,22035
11045,49048767892827900000000,1198,Oh Drummond,CS Drummondville,300,rue Notre-Dame,Saint-Germain-de-Grantham,J0C 1K0,24,2,1016.87,3054.05,9.60,B,1974-02-01,2024-02-01,MULTIFAMILIAL,22455
11034,49058858032762700000000,2102,Oh Drummond,CS Drummondville,945,113e Avenue,Drummondville,J2B 4J8,21,2,731.14,1462.28,5.10,B,1985-01-01,2019-06-01,MULTIFAMILIAL,22654
10743,49058838251946400000000,1197,Oh Drummond,CS Drummondville,85,rue Saint-Louis,Drummondville,J2B 7K4,8,2,420.09,1260.32,5.80,B,1974-08-01,2024-08-01,UNIFAMILIAL EN RANGEE,21932
11023,49058858032762700000000,2102,Oh Drummond,CS Drummondville,935,113e Avenue,Drummondville,J2B 4J8,12,3,371.19,1113.56,5.90,B,1985-01-01,2019-06-01,MULTIFAMILIAL,22632
11480,49040826984618500000000,1273,Oh Drummond,CS Drummondville,912,rue Principale,Wickham,J0C 1S0,30,2,870.73,2019.06,0.70,A,1975-03-01,2025-03-01,MULTIFAMILIAL,23553
27941,50128560391850200000000,1199,Oh Drummond,CS Drummondville,444,Notre-Dame,Saint-François-du-Lac,J0G 1M0,22,2,739.11,2217.34,3.00,A,1973-08-01,2023-08-01,MULTIFAMILIAL,23763
12095,49005067328678500000000,1544,Oh Drummond,CS Drummondville,6025,rue Principale,Saint-Félix-de-Kingsey,J0B 2T0,21,2,782.13,1564.25,0.30,A,1977-01-01,2027-01-01,MULTIFAMILIAL,29945
12143,49070888847347400000000,1552,Oh Drummond,CS Drummondville,45,rue Boisvert,Saint-Cyrille-de-Wendover,J1Z 1R2,21,2,784.95,1569.91,0.30,A,1976-10-01,2026-10-01,MULTIFAMILIAL,29901
10791,49058838177709500000000,1545,Oh Drummond,CS Drummondville,545,rue Saint-Adolphe,Drummondville,J2B 7R5,7,1,421.53,843.08,1.40,A,1977-01-01,2027-01-01,UNIFAMILIAL EN RANGEE,22050
10835,49058818464098100000000,1752,Oh Drummond,CS Drummondville,660,rue Bousquet,Drummondville,J2C 5V9,5,2,253.39,760.15,4.10,A,1979-10-01,2029-10-01,UNIFAMILIAL EN RANGEE,22234
10846,49058818475943900000000,1752,Oh Drummond,CS Drummondville,615,rue De Boucherville,Drummondville,J2C 5W2,5,2,253.39,760.15,4.10,A,1979-10-01,2029-10-01,UNIFAMILIAL EN RANGEE,22282
10850,49058818475943900000000,1752,Oh Drummond,CS Drummondville,705,rue De Boucherville,Drummondville,J2C 5W2,5,2,253.39,760.15,4.10,A,1979-10-01,2029-10-01,UNIFAMILIAL EN RANGEE,22330
10706,49058838187304200000000,1099,Oh Drummond,CS Drummondville,530,rue Saint-Adolphe,Drummondville,J2B 5P8,4,2,224.66,697.12,3.70,A,1972-05-01,2022-05-01,UNIFAMILIAL EN RANGEE,21770
12191,49058887773271500000000,1272,Oh Drummond,CS Drummondville,455,rue Lessard,Drummondville,J2A 2E5,24,2,710.32,2100.19,1.70,A,1975-03-01,2025-03-01,MULTIFAMILIAL,29794
35571,49058848499856800000000,1274,Oh Drummond,CS Drummondville,1175,boulevard Saint-Charles,Drummondville,J2C 4Z3,20,2,562.11,1686.33,3.30,A,1975-05-01,2025-05-01,MULTIFAMILIAL,28044
35560,49058848590320500000000,2101,Oh Drummond,CS Drummondville,1170,rue Hamel,Drummondville,J2C 6A8,20,2,646.81,1293.62,3.10,A,1983-07-01,2018-06-01,MULTIFAMILIAL,28033
10710,49058838177709500000000,1099,Oh Drummond,CS Drummondville,550,rue Saint-Adolphe,Drummondville,J2B 5P8,7,2,391.41,1214.57,3.90,A,1972-05-01,2022-05-01,UNIFAMILIAL EN RANGEE,21814
11001,49058848069048200000000,1910,Oh Drummond,CS Drummondville,895,boulevard Jean-De Breb,Drummondville,J2B 4S5,13,2,562.18,1081.09,3.50,A,1982-01-01,2016-03-01,MULTIFAMILIAL,22606
44424,23027398960744110000000,50260,Coop.Hab. Eveil de Québec,CS FECHAQC,3690,rue Blain,Québec,G2B 3Y1,18,3,582.08,2000.27,8.90,B,1989-03-01,2024-03-01,MULTIFAMILIAL,162466
41274,66023994552098920000000,50210,Coop.Hab. Amadeus,CS FECHIMM,4839,place Henri-Valade,Montréal,H1Y 3G7,24,3,622.44,2285.44,9.30,B,1989-01-01,2024-01-01,MULTI. JUMELE OU EN RANGEE,172841
41090,47017652824684100000000,50028,Coop.Hab. Amitié de Granby,CS FECHIMM,240,rue Denison Ouest,Granby,J2G 4E1,12,3,351.69,1032.35,15.60,D,1990-10-01,2025-10-01,MULTIFAMILIAL,173191
48381,47017652824684100000000,50309,Coop.Hab. Amitié de Granby,CS FECHIMM,242,rue Denison Ouest,Granby,J2G 4E1,10,3,633.01,854.02,5.10,A,1992-04-01,2027-04-01,MULTIFAMILIAL,174613
99046,66023983722965780000000,50518,Coop.Hab. Balcons Fleuris Mtl,CS FECHIMM,206,rue Saint-Ferdinand,Montréal,H4C 2S8,17,3,471.34,1612.48,15.10,D,1994-12-01,2029-12-01,MULTI. JUMELE OU EN RANGEE,164942
43562,66023763864517510000000,50019,Coop.Hab. Belle Lyrette,CS FECHIMM,14847,rue Lirette,Montréal,H9H 5G2,24,3,601.80,2468.52,20.50,D,1990-12-01,2025-12-01,MULTI. JUMELE OU EN RANGEE,169993
