address,duplicate_address,code geographique,territory,cubf,serial_number,lin_dim,area,max_num_floor,construction year,year_real_esti,floor_area,code_phys_conn,type_const,num_dwell,num_rental,num_non_res,value_prop,code_arrondissement,nom_arrondissement
15 rue Vézina,9999,12072,Rivière-du-Loup,6812,7799 91 7515,107.18,5088.9,2,9999,9999,9999,9999,9999,9999,9999,1,3705300,9999,9999
10 rue Vézina,9999,12072,Rivière-du-Loup,6812,7799 92 3123,65.69,11596.2,3,9999,9999,9999,9999,9999,9999,9999,1,3971300,9999,9999
99 avenue NAPOLEON,9999,64015,Mascouche,6812,9166 12 9425,114.39,21068,2,9999,9999,9999,9999,9999,9999,9999,1,10566700,9999,9999
1728 rue THACKER,9999,64015,Mascouche,6812,9265 95 3576,80.27,14681.8,1,1950,R,1015.4,1,9999,9999,9999,1,2516400,9999,9999
383 chemin des ANGLAIS,9999,64015,Mascouche,6812,9265 98 9795,44.32,4536.2,1,9999,9999,9999,9999,9999,9999,9999,1,470700,9999,9999
855 rue des ERABLES,9999,64015,Mascouche,6812,9267 95 9949,135.01,18943.1,1,9999,9999,9999,9999,9999,9999,9999,1,8829500,9999,9999
412 chemin des ANGLAIS,9999,64015,Mascouche,6812,9365 19 6421,89.85,13541,2,9999,9999,9999,9999,9999,9999,9999,1,3964300,9999,9999
2460 rue de VERSAILLES,9999,64015,Mascouche,6812,9465 56 7689,152.82,14453.9,2,2013,R,6118.3,1,9999,9999,9999,1,13997500,9999,9999
1275 avenue de CHATEAUBRIANT,9999,64015,Mascouche,6812,9568 65 5235,186.6,19894.9,1,9999,9999,9999,9999,9999,9999,9999,1,12031400,9999,9999
3000 avenue BOURQUE,9999,64015,Mascouche,6812,9666 30 2369,172.51,23970.8,1,9999,9999,9999,9999,9999,9999,9999,1,12897500,9999,9999
2995 avenue des ANCETRES,9999,64015,Mascouche,6813,9667 73 1721,154.9,43904.2,3,9999,9999,9999,9999,9999,9999,9999,2,17157500,9999,9999
1177 avenue SAINT-JEAN,9999,64015,Mascouche,6812,9667 78 0812,27.43,18875.8,2,9999,9999,9999,9999,9999,9999,9999,1,8594000,9999,9999
3400 rue de CHAMPLAIN,9999,64015,Mascouche,6812,9867 25 5091,97.54,17151.5,2,1990,R,4063.1,1,9999,9999,9999,1,8365900,9999,9999
106 rue DORSET,9999,66112,Baie-D'Urfé,6812,7130 84 9854 3 08,241.64,33346.5,1,1958,R,2802.5,9999,9999,9999,9999,1,9368900,9999,9999
216 218 rue VICTORIA,9999,66112,Baie-D'Urfé,6812,7230 88 1915 9 08,201.72,26624.5,1,1964,R,6164.1,1,9999,9999,9999,1,13020000,9999,9999
20 rue MAUGHAN,9999,66112,Baie-D'Urfé,6812,7230 84 1584 2 08,157.52,13592.8,2,1959,R,2707.2,1,9999,9999,9999,1,4641700,9999,9999
32 5 IEME AVENUE,9999,99020,Chapais,6812,0716 55 3082,148.1,17403.4,2,1975,R,2659.3,1,9999,9999,9999,1,2868000,9999,9999
1003 rue de l' Église,9999,33123,Leclercville,6812,8960 71 7829,28.06,1557.1,3,1935,R,606.9,1,9999,9999,9999,1,381100,9999,9999
111 7E AVENUE,9999,39152,Daveluyville,6813,0919 70 9257,77.54,3875.5,2,1990,R,3183.5,1,9999,9999,9999,1,2204300,9999,9999
414 rue PRINCIPALE,9999,39152,Daveluyville,6812,0919 90 1984,105.59,7592.1,2,1961,R,3590.7,1,9999,9999,9999,1,2377000,9999,9999
167 rue des Marbres,9999,21045,Boischatel,6812,5595 45 3212,86.08,13000,2,2014,R,2862.7,1,5,9999,9999,9999,5699300,9999,9999
25 côte de l' Église,9999,21045,Boischatel,6812,5695 43 2374,93.57,8718.7,1,1966,R,413.5,1,1,9999,9999,9999,2362400,9999,9999
51 rue Tardif,9999,21045,Boischatel,6812,5695 64 4766,69.46,7107.2,1,1960,R,973.5,1,5,9999,9999,9999,1224200,9999,9999
300 rue SAINTE-ANNE,9999,66127,Senneville,6813,6930 44 4679 7 08,286.47,50398,3,9999,9999,9999,9999,9999,9999,9999,1,7785800,9999,9999
40 route 386,9999,89040,Senneterre,6813,4961 17 5740,252.39,86791.5,2,1975,R,6461.4,1,9999,9999,9999,1,6062300,9999,9999
361 04E RUE OUEST,9999,89040,Senneterre,6812,4961 73 4339,85.26,12993.6,9999,9999,9999,9999,9999,9999,9999,9999,2,4140500,9999,9999
150 avenue CENTRALE NORD,9999,30110,Stratford,6812,4371 95 0827,179.81,6513.2,2,1958,R,1275.7,1,9999,9999,9999,1,1127200,9999,9999
